SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2014-2316,Fog 3,18-Jun-2014,8,1.31,1.44,0.25,0.097,.,0.027,0.259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2317,Fog 3,18-Jun-2014,12,1.46,1.73,0.51,0.161,.,0.022,1.517,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2318,Fog 3,18-Jun-2014,16,1.09,1.39,0.58,0.541,.,0.026,0.664,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2319,Fog 4,18-Jun-2014,0,0.97,1.11,0.29,1.097,.,0.025,1.675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2320,Fog 4,18-Jun-2014,1,0.94,1.09,0.29,0.111,.,0.021,1.335,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2321,Fog 4,18-Jun-2014,3,1.85,2.13,0.54,1.700,.,0.024,1.817,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2322,Fog 5,18-Jun-2014,0,0.75,0.82,0.14,0.278,.,0.019,0.176,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2323,Fog 5,18-Jun-2014,1,0.71,0.78,0.14,0.305,.,0.023,0.330,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2324,Fog 5,18-Jun-2014,3,0.69,0.77,0.15,0.384,.,0.029,1.509,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2325,Fog 5,18-Jun-2014,5,0.62,0.70,0.16,0.396,.,0.030,1.181,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2326,Fog 5,18-Jun-2014,8,1.70,2.08,0.74,5.770,.,0.038,0.416,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2009,Toolik Main,20-Jun-2014,0,0.70,0.80,0.19,0.205,.,0.024,0.338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2010.1,Toolik Main,20-Jun-2014,1,0.63,0.72,0.18,0.161,.,0.030,1.241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2010,Toolik Main,20-Jun-2014,1,0.70,0.82,0.23,0.130,.,0.038,1.320,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2012,Toolik Main,20-Jun-2014,3,0.83,0.92,0.18,0.234,.,0.028,1.441,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2013,Toolik Main,20-Jun-2014,5,0.61,0.71,0.19,0.191,.,0.024,0.935,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2527,LTER 345 (GTH 57),21-Jun-2014,0,1.10,1.17,0.13,0.167,.,0.024,0.473,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2528,LTER 345 (GTH 57),21-Jun-2014,1,1.04,1.12,0.15,0.214,.,0.020,1.209,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2529,LTER 345 (GTH 57),21-Jun-2014,3,1.16,1.23,0.13,0.192,.,0.021,1.598,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2530,LTER 345 (GTH 57),21-Jun-2014,5,1.39,1.48,0.18,0.149,.,0.026,1.189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2531,LTER 345 (GTH 57),21-Jun-2014,8,0.98,1.08,0.18,0.101,.,0.043,2.513,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2532,LTER 345 (GTH 57),21-Jun-2014,12,0.90,0.99,0.18,0.267,.,0.027,1.811,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2533,LTER 345 (GTH 57),21-Jun-2014,16,0.98,1.07,0.17,0.178,.,0.023,1.992,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2534,LTER 345 (GTH 57),21-Jun-2014,22,1.46,1.73,0.52,3.128,.,0.068,5.466,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2515,NE14,23-Jun-2014,3,0.49,0.52,0.05,0.154,.,0.033,0.145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2516,NE14,23-Jun-2014,10,0.70,0.76,0.12,0.099,.,0.028,0.202,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2517,NE14,23-Jun-2014,16,1.98,2.08,0.19,0.113,.,0.027,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2198,I1,24-Jun-2014,1,1.91,2.14,0.46,0.085,.,0.034,1.140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2199,I1,24-Jun-2014,5,2.00,2.23,0.44,0.071,.,0.032,0.698,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2200,I1,24-Jun-2014,9,1.53,1.72,0.35,0.113,.,0.022,0.752,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2201,I2,24-Jun-2014,1,2.05,2.29,0.47,0.256,.,0.018,2.203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2202,I2,24-Jun-2014,6,2.10,2.33,0.44,0.137,.,0.021,2.353,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2203,I2,24-Jun-2014,14,2.05,2.27,0.44,0.391,.,0.013,2.173,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2204,I3,24-Jun-2014,1,1.58,1.83,0.48,0.135,.,0.019,0.535,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2205,I3,24-Jun-2014,3,1.67,1.88,0.41,0.065,.,0.027,0.773,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2206,I4,24-Jun-2014,1,2.79,3.31,1.01,0.067,.,0.025,0.432,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2207,I4,24-Jun-2014,4,2.41,2.92,0.98,0.086,.,0.022,1.140,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2208,I4,24-Jun-2014,6,1.08,1.51,0.83,0.246,.,0.053,1.103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2209,I5,24-Jun-2014,1,4.23,4.97,1.42,0.116,.,0.063,1.195,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2210,I5,24-Jun-2014,5,2.85,3.25,0.76,0.631,.,0.015,0.803,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2211,I5,24-Jun-2014,8,2.51,2.84,0.63,0.258,.,0.021,0.776,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2212,I6 Headwaters Lake,24-Jun-2014,1,2.43,2.68,0.48,1.002,.,0.021,1.563,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2213,I6 Headwaters Lake,24-Jun-2014,4,7.49,8.20,1.36,1.381,.,0.023,1.125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2214,I6 Headwaters Lake,24-Jun-2014,6,1.07,1.23,0.32,2.210,.,0.025,1.956,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2224,I Swamp,25-Jun-2014,1,0.74,0.86,0.23,0.149,.,0.025,0.294,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2225,I Swamp,25-Jun-2014,3,0.65,0.75,0.21,0.145,.,0.026,0.003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2215,I6,25-Jun-2014,1,2.07,2.20,0.25,0.238,.,0.014,0.589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2216,I6,25-Jun-2014,3,3.23,3.62,0.75,0.184,.,0.021,0.761,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2217,I6,25-Jun-2014,12,0.50,0.71,0.40,1.343,.,0.018,1.276,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2218,I7,25-Jun-2014,1,1.78,2.00,0.41,0.109,.,0.016,0.523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2219,I7,25-Jun-2014,2,3.10,3.42,0.62,0.155,.,0.025,1.438,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2220,I7,25-Jun-2014,10,0.44,0.68,0.48,0.232,.,0.023,0.833,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2221,I8,25-Jun-2014,1,2.58,2.74,0.30,0.213,.,0.028,1.015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2222,I8,25-Jun-2014,3,2.87,3.08,0.40,0.174,.,0.024,0.583,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2223,I8,25-Jun-2014,7,0.61,0.72,0.23,0.321,.,0.025,1.092,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2018,Toolik Main,27-Jun-2014,0,3.00,3.22,0.42,0.158,.,0.038,2.264,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2019,Toolik Main,27-Jun-2014,1,3.14,3.30,0.31,0.088,.,0.040,0.956,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2019.1,Toolik Main,27-Jun-2014,1,2.49,2.78,0.57,0.097,.,0.043,2.050,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2021,Toolik Main,27-Jun-2014,3,2.67,3.04,0.72,0.083,.,0.043,1.019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2022,Toolik Main,27-Jun-2014,5,1.79,2.08,0.57,0.099,.,0.044,1.196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2023,Toolik Main,27-Jun-2014,8,0.51,0.64,0.25,0.076,.,0.047,2.603,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2024,Toolik Main,27-Jun-2014,12,0.35,0.45,0.18,0.127,.,0.038,2.340,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2025,Toolik Main,27-Jun-2014,16,0.39,0.51,0.23,0.186,.,0.039,3.460,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2026,Toolik Main,27-Jun-2014,20,0.32,0.42,0.19,0.189,.,0.045,3.901,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2535,LTER 345 (GTH 57),30-Jun-2014,0,1.19,1.29,0.20,0.386,.,0.015,0.801,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2536,LTER 345 (GTH 57),30-Jun-2014,1,1.41,1.53,0.23,0.333,.,0.020,1.108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2537,LTER 345 (GTH 57),30-Jun-2014,3,1.38,1.49,0.22,0.585,.,0.021,1.093,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2538,LTER 345 (GTH 57),30-Jun-2014,5,1.04,1.11,0.13,0.265,.,0.023,0.855,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2539,LTER 345 (GTH 57),30-Jun-2014,8,1.31,1.42,0.21,0.264,.,0.021,1.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2540,LTER 345 (GTH 57),30-Jun-2014,12,0.83,0.88,0.09,0.390,.,0.022,2.343,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2541,LTER 345 (GTH 57),30-Jun-2014,16,0.82,0.84,0.05,0.312,.,0.024,1.023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2542,LTER 345 (GTH 57),30-Jun-2014,22,0.85,0.91,0.12,0.378,.,0.023,1.355,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2099,E5,01-Jul-2014,0,3.29,3.57,0.54,0.188,.,0.045,0.138,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2100,E5,01-Jul-2014,1,2.85,2.85,0.01,0.003,.,0.049,0.638,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2101,E5,01-Jul-2014,3,5.74,6.20,0.90,0.070,.,0.070,0.080,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2102,E5,01-Jul-2014,5,3.42,3.77,0.67,0.383,.,0.082,1.256,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2103,E5,01-Jul-2014,8,3.12,3.40,0.55,0.259,.,0.080,0.525,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2104,E5,01-Jul-2014,10,3.77,4.05,0.53,0.284,.,0.087,1.429,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2105,E6,01-Jul-2014,0,1.34,1.57,0.45,0.163,.,0.035,0.903,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2106,E6,01-Jul-2014,1,0.73,0.90,0.33,0.235,.,0.040,0.073,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2107,E6,01-Jul-2014,3,0.00,0.00,0.00,0.293,.,0.045,1.270,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2330,Fog 1,03-Jul-2014,1,0.52,0.57,0.09,0.274,.,0.029,1.094,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,secchi depth not recorded
2014-2331,Fog 1,03-Jul-2014,3,0.75,0.79,0.08,0.225,.,0.040,0.695,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2332,Fog 1,03-Jul-2014,6,1.21,1.31,0.19,0.178,.,0.044,1.038,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2335,Fog 1,03-Jul-2014,16,0.84,1.11,0.53,0.506,.,0.048,0.037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2350,Fog 4,03-Jul-2014,0,0.98,1.05,0.13,0.155,.,0.078,0.477,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2351,Fog 4,03-Jul-2014,1,.,0.72,.,0.162,.,0.045,1.679,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"chlorophyll extraction lost after running before acid value, no pheophytin correction"
2014-2352,Fog 4,03-Jul-2014,3,1.16,1.34,0.35,0.228,.,0.066,0.674,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2354,Fog 5,03-Jul-2014,1,0.29,0.33,0.08,1.543,.,0.054,0.156,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2355,Fog 5,03-Jul-2014,3,1.07,1.17,0.21,0.253,.,0.064,1.102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2356,Fog 5,03-Jul-2014,5,0.66,0.84,0.37,0.351,.,0.059,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2357,Fog 5,03-Jul-2014,8,0.10,0.33,0.45,18.305,.,0.054,1.212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"For sample 2014-2357, replaced NH4OPA value of 21.4 w/ the value 18.3. The first value was outside working range (0.05 to 5.0 uM), the second value comes from a dilution of the original sample."
2014-2337,Fog 2,04-Jul-2014,1,0.50,0.59,0.16,0.687,.,0.030,1.110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2338,Fog 2,04-Jul-2014,3,0.51,0.58,0.15,1.764,.,0.030,0.539,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2339,Fog 2,04-Jul-2014,8,1.96,2.08,0.24,1.750,.,0.030,1.288,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2342,Fog 2,04-Jul-2014,16,0.83,1.10,0.53,2.008,.,0.050,0.259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2344,Fog 3,04-Jul-2014,1,0.53,0.55,0.04,0.687,.,0.053,1.612,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2345,Fog 3,04-Jul-2014,3,0.95,1.08,0.24,1.764,.,0.034,1.841,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2346,Fog 3,04-Jul-2014,6,1.65,1.90,0.48,1.750,.,0.034,1.066,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2349,Fog 3,04-Jul-2014,16,0.61,0.80,0.37,2.008,.,0.041,1.034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NH4OPA values from Fog 2 and Fog 3 on 04Jul2014 were switched so I switched w/correct values.
2014-2027,Toolik Main,04-Jul-2014,0,2.14,2.46,0.62,0.222,.,0.040,0.796,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2028.1,Toolik Main,04-Jul-2014,1,2.38,2.70,0.63,0.194,.,0.030,0.892,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2028,Toolik Main,04-Jul-2014,1,2.09,2.38,0.56,0.220,.,0.032,1.061,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2030,Toolik Main,04-Jul-2014,3,3.98,4.60,1.20,0.220,.,0.036,0.399,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2031,Toolik Main,04-Jul-2014,5,3.23,3.72,0.94,0.230,.,0.030,1.422,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2032,Toolik Main,04-Jul-2014,8,0.79,1.13,0.66,0.347,.,0.026,1.937,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2033,Toolik Main,04-Jul-2014,12,0.39,0.61,0.42,0.346,.,0.024,2.223,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2034,Toolik Main,04-Jul-2014,16,0.00,0.00,1.74,0.486,.,0.027,2.042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2035,Toolik Main,04-Jul-2014,20,0.34,0.55,0.41,0.537,.,0.028,2.904,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2282,Dimple Lake,07-Jul-2014,1,0.96,1.29,0.64,0.391,.,0.133,0.664,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2283,Dimple Lake,07-Jul-2014,4,0.50,0.92,0.81,1.622,.,0.353,0.691,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2286,Horn Lake,07-Jul-2014,1,1.15,1.61,0.89,0.486,.,0.107,0.731,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2287,Horn Lake,07-Jul-2014,5,1.40,3.75,4.54,58.245,.,0.867,1.405,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2288,Perched Lake,07-Jul-2014,1,0.51,0.65,0.27,0.293,.,0.058,1.077,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2289,Perched Lake,07-Jul-2014,8,5.27,5.96,1.34,0.327,.,0.112,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2284,Shasta Lake,07-Jul-2014,1,1.44,2.02,1.12,0.522,.,0.090,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2285,Shasta Lake,07-Jul-2014,8,0.33,1.27,1.81,14.363,.,0.320,0.821,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2518,NE14,08-Jul-2014,3,0.30,0.31,0.03,0.260,.,0.061,0.212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2519,NE14,08-Jul-2014,9,1.78,2.70,0.00,0.291,.,0.058,0.043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Acidified chlorophyll extraction fluoresence reading suspicously low, I do not trust the pheophytin correction"
2014-2520,NE14,08-Jul-2014,16,1.13,1.59,0.89,0.166,.,0.070,0.014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2108,E5,09-Jul-2014,0,1.80,2.04,0.46,0.408,.,0.033,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2109,E5,09-Jul-2014,1,1.43,1.71,0.55,0.291,.,0.044,0.095,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2110,E5,09-Jul-2014,3,5.96,6.65,1.33,0.273,.,0.071,1.090,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2111,E5,09-Jul-2014,5,5.29,5.80,0.99,0.317,.,0.079,0.037,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2112,E5,09-Jul-2014,8,4.87,5.60,1.41,0.268,.,0.083,0.084,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2113,E5,09-Jul-2014,10,6.04,6.84,1.54,0.247,.,0.113,0.845,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2114,E6,09-Jul-2014,0,1.16,1.31,0.29,0.381,.,0.064,0.072,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2115,E6,09-Jul-2014,1,1.23,1.43,0.39,0.266,.,0.058,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2116,E6,09-Jul-2014,2,1.15,1.47,0.61,0.358,.,0.062,0.010,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2036,Toolik Main,11-Jul-2014,0,0.92,1.01,0.17,0.445,.,0.014,1.196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2037.1,Toolik Main,11-Jul-2014,1,1.07,1.16,0.17,0.420,.,0.027,0.697,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2037,Toolik Main,11-Jul-2014,1,0.98,1.05,0.13,0.419,.,0.022,1.922,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2039,Toolik Main,11-Jul-2014,3,1.83,2.04,0.40,0.338,.,0.030,0.231,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2040,Toolik Main,11-Jul-2014,5,4.52,5.04,1.01,0.323,.,0.046,0.278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2041,Toolik Main,11-Jul-2014,8,1.06,1.27,0.42,0.515,.,0.043,1.377,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2042,Toolik Main,11-Jul-2014,12,0.38,0.53,0.30,0.690,.,0.046,3.107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2043,Toolik Main,11-Jul-2014,16,0.35,0.51,0.30,0.885,.,0.051,2.881,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2044,Toolik Main,11-Jul-2014,20,0.38,0.54,0.31,0.827,.,0.054,3.208,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2576,S11,14-Jul-2014,0,1.83,1.92,0.00,.,.,0.078,1.259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2577,S11,14-Jul-2014,1,1.39,1.46,0.13,.,.,0.120,0.607,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2578,S11,14-Jul-2014,3,2.31,2.42,0.21,.,.,0.146,1.236,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2579,S11,14-Jul-2014,5,2.89,3.04,0.29,.,.,0.203,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,NO3 results were negative (>-0.1) so I changed to zero
2014-2580,S11,14-Jul-2014,8,4.64,4.92,0.53,.,.,0.288,1.444,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2581,S11,14-Jul-2014,10,8.71,9.20,0.95,.,.,0.358,1.313,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2014-2582,S6,14-Jul-2014,0,0.91,0.99,0.14,.,.,0.000,3.883,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,PO4 value was -0.01 so I changed to zero
