SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
,I2,15-Jul-14,10,10.01,9:47:59,7.5,5.52,23.20,6.34,77.7,8.95,.,0.02,1.89,,.,.,2.5,
,I2,15-Jul-14,11,11,9:49:03,7.4,5.46,22.90,6.34,76.2,8.8,.,0.02,1.91,,.,.,2.5,
,I2,15-Jul-14,12,11.99,9:50:08,7.4,5.35,23.20,6.32,75.5,8.75,.,0.02,1.91,,.,.,2.5,
,I2,15-Jul-14,13,13,9:51:00,7.4,5.26,23.10,6.3,74.8,8.68,.,0.02,1.93,,.,.,2.5,
2014-2231,I2,15-Jul-14,14,13.98,9:51:55,7.4,5.21,23.10,6.29,73.5,8.54,.,0.02,1.85,,.,.,2.5,
,I2,15-Jul-14,15,15,9:52:48,7.4,5.13,23.30,6.27,71.7,8.35,.,0.02,1.83,,.,.,2.5,
,I2,15-Jul-14,16,15.99,9:53:43,7.4,5.04,23.30,6.26,68.6,8.01,.,0.02,1.87,,.,.,2.5,
,I2,15-Jul-14,17,16.99,9:55:01,7.4,5.02,23.40,6.25,67.6,7.89,.,0.02,1.85,,.,.,2.5,
,I3,15-Jul-14,0,0.02,12:10:20,7.1,12.3,23.80,6.83,91.6,8.97,.,0.02,1.79,1661,.,.,2.3,
,I3,15-Jul-14,0.5,0.5,12:13:02,7,12.3,23.70,6.83,91.6,8.97,.,0.03,2.10,647,.,.,2.3,
2014-2232,I3,15-Jul-14,1,0.99,12:13:54,7,12.3,23.70,6.82,91.8,8.98,.,0.03,2.17,289,.,.,2.3,
,I3,15-Jul-14,1.5,1.51,12:15:36,7,12.29,23.80,6.82,91.3,8.94,.,0.03,2.96,87,.,.,2.3,
,I3,15-Jul-14,2,2.01,12:16:00,7,12.29,23.80,6.86,91.8,9,.,0.04,3.48,60,.,.,2.3,
,I3,15-Jul-14,2.5,2.51,12:17:42,7,12.27,23.80,6.76,90.6,8.87,.,0.04,3.44,48,.,.,2.3,
2014-2233,I3,15-Jul-14,3,3.01,12:18:32,7,11.64,23.60,6.7,88.4,8.78,.,0.04,3.75,34,.,.,2.3,
,I3,15-Jul-14,3.5,3.48,12:19:33,7,11.5,23.40,6.65,88.3,8.8,.,0.04,3.71,68,.,.,2.3,
,I3,15-Jul-14,4,4.02,12:20:37,7,11.43,23.10,6.63,86.4,8.62,.,0.04,3.77,45,.,.,2.3,
,I3,15-Jul-14,4.5,4.48,12:23:11,6.9,9.81,21.30,6.23,53.8,5.57,.,0.05,4.75,16,.,.,2.3,
,I4,15-Jul-14,0,-0.01,13:30:18,7.1,12.81,19.30,6.77,93,9,.,0.03,2.21,1012,.,.,2.5,
,I4,15-Jul-14,0.5,0.5,13:32:32,7.1,12.81,19.30,6.76,92.8,8.97,.,0.03,2.57,626,.,.,2.5,
2014-2234,I4,15-Jul-14,1,1.02,13:34:09,7,12.8,19.30,6.76,92.6,8.96,.,0.03,2.80,288,.,.,2.5,
,I4,15-Jul-14,2,2.02,13:35:24,7,12.79,19.30,6.72,92.9,8.99,.,0.04,3.82,169,.,.,2.5,
,I4,15-Jul-14,3,2.95,13:36:27,7,12.79,19.40,6.73,92.6,8.96,.,0.04,3.73,48,.,.,2.5,
,I4,15-Jul-14,4,4.03,13:37:26,7,12.69,19.30,6.75,92.7,8.99,.,0.05,4.18,32,.,.,2.5,
2014-2235,I4,15-Jul-14,5,4.99,13:38:52,7,8.41,17.50,6.2,62.8,6.74,.,0.05,4.14,17,.,.,2.5,
2014-2236,I4,15-Jul-14,6,6.01,13:40:40,7,7.28,17.70,6.07,50.1,5.52,.,0.03,3.03,15,.,.,2.5,
,I4,15-Jul-14,7,6.99,13:41:34,6.9,6.93,18.20,6.04,45.7,5.09,.,0.03,2.93,12,.,.,2.5,
,I5,15-Jul-14,0,-0.01,14:56:17,6.9,13.01,19.80,6.83,93.7,9.02,.,0.02,1.83,767,.,.,3.3,
2014-2237,I5,15-Jul-14,1,1,14:57:41,6.9,13,19.80,6.79,94.1,9.06,.,0.03,2.40,289,.,.,3.3,
,I5,15-Jul-14,2,2.01,14:58:41,6.9,12.94,19.80,6.79,93.9,9.06,.,0.03,2.67,117,.,.,3.3,
,I5,15-Jul-14,3,3.02,15:00:04,6.9,12.93,19.80,6.79,93.8,9.05,.,0.03,2.88,52,.,.,3.3,
,I5,15-Jul-14,4,4.03,15:01:36,6.8,12.91,19.70,6.79,93.6,9.03,.,0.04,3.49,29,.,.,3.3,
2014-2238,I5,15-Jul-14,5,5.01,15:02:43,6.8,10.09,19.90,6.45,82.9,8.54,.,0.06,5.30,19,.,.,3.3,
,I5,15-Jul-14,6,6.01,15:03:55,6.8,8.53,20.40,6.37,78.3,8.37,.,0.05,4.72,15,.,.,3.3,
,I5,15-Jul-14,7,7.01,15:05:01,6.8,7.83,20.30,6.3,73.7,8.02,.,0.04,3.88,14,.,.,3.3,
2014-2239,I5,15-Jul-14,8,8.01,15:06:10,6.8,7.42,20.20,6.25,70.2,7.71,.,0.04,3.39,13,.,.,3.3,
,I5,15-Jul-14,9,9,15:07:19,6.8,7.26,20.40,6.23,68.1,7.51,.,0.03,2.94,12,.,.,3.3,
,I6 Headwater Lake,15-Jul-14,0,0.01,16:13:31,6.8,13.49,91.60,7.57,94.4,8.99,.,0.02,1.18,634,.,.,5.5,
,I6 Headwater Lake,15-Jul-14,0.5,0.53,16:14:56,6.7,13.49,91.30,7.6,94.1,8.97,.,0.02,1.22,438,.,.,5.5,
2014-2240,I6 Headwater Lake,15-Jul-14,1,1.01,16:16:16,6.7,13.42,91.20,7.62,94.1,8.98,.,0.02,1.52,333,.,.,5.5,
,I6 Headwater Lake,15-Jul-14,2,2.01,16:17:13,6.7,13.2,91.60,7.62,93.3,8.94,.,0.02,1.98,137,.,.,5.5,
,I6 Headwater Lake,15-Jul-14,3,2.99,16:18:15,6.7,13.14,91.20,7.62,93.6,8.98,.,0.03,2.16,86,.,.,5.5,
2014-2241,I6 Headwater Lake,15-Jul-14,4,4.01,16:19:18,6.7,11.25,92.00,7.36,92.6,9.28,.,0.05,4.36,54,.,.,5.5,
,I6 Headwater Lake,15-Jul-14,5,5.02,16:20:34,6.7,8.45,92.40,7.17,76,8.14,.,0.06,5.53,26,.,.,5.5,
2014-2242,I6 Headwater Lake,15-Jul-14,6,6.01,16:21:53,6.7,7.76,92.60,7.08,66.7,7.27,.,0.05,4.33,18,.,.,5.5,
,I6 Headwater Lake,15-Jul-14,7,7.01,16:23:22,6.7,7.58,92.80,7.03,60.4,6.61,.,0.05,4.26,15,.,.,5.5,
,I Swamp,16-Jul-14,0,0.01,13:03:41,7.3,12.19,40.50,6.92,89,8.73,.,0.02,1.92,551,.,.,3,
,I Swamp,16-Jul-14,0.5,0.49,13:05:27,7.3,12.17,40.50,6.96,89,8.74,.,0.03,2.22,283,.,.,3,
2014-2252,I Swamp,16-Jul-14,1,1,13:06:26,7.2,12.16,40.70,6.94,88.9,8.73,.,0.03,2.20,135,.,.,3,
,I Swamp,16-Jul-14,1.5,1.51,13:07:30,7.2,12.16,40.40,6.96,89.1,8.75,.,0.03,2.27,75,.,.,3,
,I Swamp,16-Jul-14,2,2.01,13:08:37,7.1,12.07,40.40,6.95,88.8,8.73,.,0.03,2.38,63,.,.,3,
,I Swamp,16-Jul-14,2.5,2.51,13:09:58,7.1,11.92,40.20,6.96,88.3,8.72,.,0.03,2.38,49,.,.,3,
,I Swamp,16-Jul-14,3,3.01,13:10:59,7.1,11.87,40.20,6.94,88.2,8.71,.,0.03,2.41,37,.,.,3,
,I Swamp,16-Jul-14,3.5,3.51,13:11:59,7.1,11.82,40.10,6.94,88,8.71,.,0.03,2.40,30,.,.,3,
2014-2253,I Swamp,16-Jul-14,4,4,13:13:01,7.1,11.61,39.20,6.91,87.8,8.72,.,0.03,2.47,25,.,.,3,
,I Swamp,16-Jul-14,4.5,4.52,13:15:00,7.1,10.75,38.30,6.88,87.2,8.83,.,0.03,2.60,20,.,.,3,
,I Swamp,16-Jul-14,5,5.03,13:17:00,7.1,10.55,37.90,6.86,85,8.66,.,0.03,2.53,18,.,.,3,
,I6,16-Jul-14,0,0.02,9:12:36,7.9,12.99,32.30,7.15,94.9,9.14,.,0.03,2.32,234,.,.,2.9,
2014-2243,I6,16-Jul-14,1,1.02,9:14:52,7.8,13,32.30,7.11,94.7,9.12,.,0.04,3.15,82,.,.,2.9,
,I6,16-Jul-14,2,1.98,9:16:07,7.8,12.97,32.70,7.11,94.7,9.13,.,0.04,3.49,42,.,.,2.9,
,I6,16-Jul-14,3,2.99,9:17:33,7.7,12.03,36.40,7.03,91.9,9.04,.,0.03,2.95,26,.,.,2.9,
,I6,16-Jul-14,4,4,9:18:35,7.7,10.64,36.30,6.9,88.3,8.98,.,0.03,2.99,19,.,.,2.9,
2014-2244,I6,16-Jul-14,5,5.02,9:19:45,7.7,7.35,33.30,6.71,78.1,8.59,.,0.04,3.32,14,.,.,2.9,
,I6,16-Jul-14,6,6.01,9:21:03,7.7,6.54,33.60,6.64,73.4,8.25,.,0.03,2.74,13,.,.,2.9,
,I6,16-Jul-14,7,7.01,9:22:19,7.6,6.2,33.80,6.61,72.5,8.21,.,0.03,2.62,12,.,.,2.9,
,I6,16-Jul-14,8,8.01,9:23:27,7.6,5.87,34.00,6.6,71.6,8.18,.,0.02,2.00,11,.,.,2.9,
,I6,16-Jul-14,9,9,9:24:33,7.6,5.64,34.40,6.58,70,8.04,.,0.02,1.91,,.,.,2.9,
,I6,16-Jul-14,10,10,9:26:17,7.6,5.5,34.80,6.57,67.5,7.78,.,0.03,2.05,,.,.,2.9,
,I6,16-Jul-14,11,11,9:27:21,7.5,5.48,34.80,6.57,67.7,7.82,.,0.03,2.08,,.,.,2.9,
2014-2245,I6,16-Jul-14,12,12,9:28:18,7.5,5.46,34.80,6.55,67.3,7.77,.,0.02,1.94,,.,.,2.9,
,I6,16-Jul-14,13,13.01,9:30:58,7.5,5.45,35.20,6.55,66.4,7.67,.,0.03,2.08,,.,.,2.9,
,I7,16-Jul-14,0,0.03,10:13:35,7.5,12.84,36.20,7.22,93.9,9.08,.,0.03,2.75,319,.,.,2.8,
,I7,16-Jul-14,0.5,0.53,10:15:15,7.4,12.84,36.30,7.19,93.8,9.07,.,0.03,2.61,160,.,.,2.8,
2014-2246,I7,16-Jul-14,1,0.98,10:16:17,7.4,12.84,36.10,7.18,93.6,9.05,.,0.03,2.82,99,.,.,2.8,
,I7,16-Jul-14,2,2.01,10:17:14,7.4,12.81,36.20,7.16,93.3,9.02,.,0.03,2.79,46,.,.,2.8,
,I7,16-Jul-14,3,3,10:18:18,7.3,12.67,36.50,7.14,92.5,8.98,.,0.03,2.81,29,.,.,2.8,
2014-2247,I7,16-Jul-14,4,4,10:19:16,7.3,10.17,33.60,6.9,86.3,8.87,.,0.04,3.55,21,.,.,2.8,
,I7,16-Jul-14,5,5,10:20:24,7.3,7.26,30.90,6.71,77.5,8.55,.,0.04,3.92,16,.,.,2.8,
,I7,16-Jul-14,6,6.03,10:22:44,7.3,6.5,30.10,6.61,72.9,8.19,.,0.04,3.31,14,.,.,2.8,
,I7,16-Jul-14,7,6.99,10:23:54,7.3,6.07,30.10,6.56,71.3,8.11,.,0.03,2.79,12,.,.,2.8,
,I7,16-Jul-14,8,8.02,10:24:40,7.3,6,30.10,6.55,70,7.97,.,0.03,2.88,,.,.,2.8,
,I7,16-Jul-14,9,8.99,10:25:36,7.3,5.93,30.30,6.53,68.5,7.82,.,0.03,2.96,,.,.,2.8,
2014-2248,I7,16-Jul-14,10,10.01,10:26:45,7.3,5.89,30.40,6.53,67.9,7.75,.,0.03,2.85,,.,.,2.8,
,I7,16-Jul-14,11,11,10:27:49,7.3,5.87,30.80,6.52,66.4,7.59,.,0.03,2.91,,.,.,2.8,
,I7,16-Jul-14,12,12.01,10:29:04,7.2,5.85,31.10,6.5,65.7,7.51,.,0.03,3.02,,.,.,2.8,
,I8,16-Jul-14,0,0.03,11:42:01,7.2,11.8,73.50,7.59,96.8,9.58,.,0.03,2.24,1618,.,.,2.8,
,I8,16-Jul-14,0.5,0.52,11:44:13,7.2,11.71,73.70,7.59,96.9,9.61,.,0.03,2.22,1068,.,.,2.8,
2014-2249,I8,16-Jul-14,1,0.99,11:45:33,7.2,11.56,73.60,7.6,96.5,9.61,.,0.03,2.69,600,.,.,2.8,
,I8,16-Jul-14,2,2.01,11:46:30,7.2,11.45,73.50,7.57,96.2,9.6,.,0.04,3.85,249,.,.,2.8,
2014-2250,I8,16-Jul-14,3,3.02,11:47:21,7.2,10.88,72.70,7.54,94.3,9.53,.,0.05,4.85,67,.,.,2.8,
,I8,16-Jul-14,4,3.99,11:49:06,7.2,10.72,72.60,7.52,93.8,9.52,.,0.05,4.40,39,.,.,2.8,
,I8,16-Jul-14,5,5,11:50:46,7.2,10.6,72.60,7.5,93,9.46,.,0.04,3.86,31,.,.,2.8,
,I8,16-Jul-14,6,6.03,11:52:08,7.2,10.45,73.00,7.46,90.9,9.28,.,0.04,3.63,16,.,.,2.8,
2014-2251,I8,16-Jul-14,7,7.01,11:53:19,7.2,10.36,72.90,7.41,88.8,9.09,.,0.04,3.49,12,.,.,2.8,
2014-2045,Toolik,18-Jul-14,0,0.03,9:21:59,7.4,12.85,74.10,7.68,101.1,9.7,.,0.02,1.81,414,.,.,4.1,
2014-2046,Toolik,18-Jul-14,1,1.01,9:23:27,7.4,12.87,73.70,7.65,101.4,9.72,.,0.03,2.65,101,.,.,4.1,
,Toolik,18-Jul-14,2,2,9:24:31,7.3,12.87,73.90,7.63,100.9,9.67,.,0.03,2.99,55,.,.,4.1,
2014-2048,Toolik,18-Jul-14,3,3.01,9:25:53,7.3,12.85,73.70,7.62,101.1,9.69,.,0.04,3.54,35,.,.,4.1,
,Toolik,18-Jul-14,4,4.01,9:27:03,7.3,12.68,74.40,7.59,100.5,9.67,.,0.04,3.87,25,.,.,4.1,
2014-2049,Toolik,18-Jul-14,5,5,9:28:22,7.3,9.67,74.30,7.29,95.4,9.84,.,0.06,5.97,19,.,.,4.1,
,Toolik,18-Jul-14,6,6,9:29:27,7.3,8.48,74.10,7.23,93.9,9.97,.,0.07,6.84,15,.,.,4.1,
,Toolik,18-Jul-14,7,7,9:30:43,7.3,8.02,74.20,7.19,91.4,9.82,.,0.07,6.76,13,.,.,4.1,
2014-2050,Toolik,18-Jul-14,8,8.01,9:31:59,7.2,7.53,74.30,7.15,89.5,9.72,.,0.06,5.78,12,.,.,4.1,
,Toolik,18-Jul-14,9,8.99,9:33:05,7.2,6.31,75.30,7.09,85,9.52,.,0.04,3.76,11,.,.,4.1,
,Toolik,18-Jul-14,10,10.01,9:34:13,7.2,5.99,75.20,7.07,83.7,9.45,.,0.04,3.14,,,.,4.1,
,Toolik,18-Jul-14,11,11,9:35:21,7.2,5.85,75.60,7.04,82.5,9.35,.,0.03,2.95,,,.,4.1,
2014-2051,Toolik,18-Jul-14,12,12,9:36:23,7.2,5.63,76.00,7.02,81.5,9.29,.,0.03,2.77,,,.,4.1,
,Toolik,18-Jul-14,13,13.01,9:37:33,7.2,5.54,75.90,7.01,80.8,9.24,.,0.03,2.68,,,.,4.1,
,Toolik,18-Jul-14,14,14.01,9:38:32,7.2,5.54,76.00,7,80.5,9.21,.,0.03,2.06,,,.,4.1,
,Toolik,18-Jul-14,15,15,9:39:34,7.2,5.38,76.10,6.99,79.9,9.17,.,0.02,2.04,,,.,4.1,
2014-2052,Toolik,18-Jul-14,16,16.02,9:40:33,7.1,5.35,76.10,6.98,79.2,9.09,.,0.02,1.96,,,.,4.1,
,Toolik,18-Jul-14,17,17,9:41:46,7.1,5.3,75.90,6.97,78.5,9.03,.,0.03,2.03,,,.,4.1,
,Toolik,18-Jul-14,18,18.02,9:42:57,7.1,5.27,75.90,6.96,78.5,9.03,.,0.02,2.04,,,.,4.1,
,Toolik,18-Jul-14,19,19.01,9:43:54,7.1,5.22,76.20,6.96,78.2,9.01,.,0.02,1.83,,,.,4.1,
2014-2053,Toolik,18-Jul-14,20,20.02,9:45:06,7.1,5.22,75.90,6.95,77.8,8.97,.,0.02,2.01,,,.,4.1,
,Toolik,18-Jul-14,21,21.02,9:46:12,7.1,5.2,76.00,6.95,77.8,8.97,.,0.02,1.86,,,.,4.1,
,Toolik,18-Jul-14,22,21.98,9:47:26,7.1,5.18,76.50,6.95,77.8,8.97,.,0.02,2.01,,,.,4.1,
2014-2543,LTER 345 (GTH 57),21-Jul-14,0,0.03,9:22:55,7.7,11.18,155.40,7.59,99.1,9.87,.,0.01,0.78,706,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,0.5,0.49,9:25:19,7.6,11.14,155.50,7.56,99.1,9.88,.,0.01,0.85,470,.,.,2.5,
2014-2544,LTER 345 (GTH 57),21-Jul-14,1,0.99,9:26:33,7.6,11.18,155.10,7.54,99.2,9.88,.,0.01,0.93,289,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,2,1.99,9:27:39,7.5,11.08,155.40,7.5,99.1,9.89,.,0.02,1.26,184,.,.,2.5,
2014-2545,LTER 345 (GTH 57),21-Jul-14,3,2.99,9:28:43,7.5,10.14,152.60,7.42,99.1,10.12,.,0.03,2.06,88,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,4,4,9:29:59,7.5,8.31,150.90,7.31,99.4,10.6,.,0.03,2.92,54,.,.,2.5,
2014-2546,LTER 345 (GTH 57),21-Jul-14,5,5,9:32:02,7.4,6.64,150.40,7.22,96.4,10.71,.,0.05,4.51,36,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,6,6,9:33:23,7.4,6.34,149.90,7.19,94.4,10.57,.,0.06,5.36,24,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,7,7.01,9:35:04,7.4,5.74,150.20,7.14,92.5,10.52,.,0.05,5.12,19,.,.,2.5,
2014-2547,LTER 345 (GTH 57),21-Jul-14,8,8,9:36:12,7.4,5.48,150.10,7.11,91.7,10.49,.,0.05,4.12,15,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,9,8.99,9:37:39,7.3,5.38,149.60,7.1,91.1,10.45,.,0.04,3.68,14,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,10,10.01,9:38:50,7.3,5.17,150.30,7.08,90.4,10.43,.,0.03,2.97,12,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,11,11.02,9:39:49,7.3,5.03,150.20,7.06,89.7,10.38,.,0.02,1.72,,.,.,2.5,
2014-2548,LTER 345 (GTH 57),21-Jul-14,12,12,9:41:10,7.3,4.96,149.90,7.04,88.6,10.28,.,0.02,1.69,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,13,12.99,9:42:35,7.3,4.88,150.30,7.02,88.3,10.26,.,0.02,1.43,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,14,13.96,9:44:58,7.3,4.83,149.90,7,87.7,10.2,.,0.02,1.40,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,15,14.97,9:46:38,7.3,4.79,150.00,6.98,87.3,10.17,.,0.02,1.34,,.,.,2.5,
2014-2549,LTER 345 (GTH 57),21-Jul-14,16,15.99,9:47:31,7.2,4.77,150.40,6.97,86.9,10.13,.,0.02,1.38,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,17,16.99,9:48:26,7.2,4.76,150.40,6.97,86.8,10.12,.,0.02,1.33,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,18,17.98,9:49:48,7.2,4.74,149.90,6.96,86.3,10.07,.,0.02,1.35,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,19,19.01,9:50:44,7.2,4.67,150.80,6.94,85.3,9.97,.,0.02,1.26,,.,.,2.5,
,LTER 345 (GTH 57),21-Jul-14,20,20,9:53:48,7.2,4.65,150.20,6.91,84.2,9.85,.,0.02,1.36,,.,.,2.5,
2014-2550,LTER 345 (GTH 57),21-Jul-14,21,20.99,9:57:55,7.2,4.64,150.10,6.89,83.3,9.74,.,0.02,1.54,,.,.,2.5,
2014-2117,E5,22-Jul-14,0,0.03,19:48:49,7.3,11.52,13.00,7,97,9.59,.,0.05,5.14,94,.,.,2.3,
,E5,22-Jul-14,0.5,0.56,19:48:19,7.3,11.53,13.00,6.99,96.8,9.56,.,0.06,5.77,56,.,.,2.3,
2014-2118,E5,22-Jul-14,1,1.01,19:49:49,7.2,11.53,13.00,6.86,97.2,9.6,.,0.06,5.64,33,.,.,2.3,
,E5,22-Jul-14,2,2.02,19:50:53,7.2,11.52,13.00,6.8,96.9,9.58,.,0.06,5.94,19,.,.,2.3,
2014-2119,E5,22-Jul-14,3,3.01,19:51:50,7.2,11.53,13.10,6.75,97,9.59,.,0.06,6.08,15,.,.,2.3,
,E5,22-Jul-14,4,4.01,19:52:52,7.2,11.54,13.00,6.72,96.8,9.56,.,0.06,6.00,13,.,.,2.3,
2014-2120,E5,22-Jul-14,5,5,19:53:57,7.2,7.8,13.80,6.24,68.7,7.42,.,0.10,9.92,12,.,.,2.3,
,E5,22-Jul-14,6,6.01,19:55:08,7.2,6.37,13.90,6.1,60.8,6.8,.,0.09,8.96,,.,.,2.3,
,E5,22-Jul-14,7,7,19:56:23,7.1,6.04,14.50,6.04,55.4,6.26,.,0.08,7.80,,.,.,2.3,
2014-2121,E5,22-Jul-14,8,7.98,19:57:41,7.1,5.9,14.80,6.01,49.1,5.56,.,0.08,7.65,,.,.,2.3,
,E5,22-Jul-14,9,9,19:58:51,7.1,5.76,15.00,5.99,46,5.23,.,0.07,7.09,,.,.,2.3,
2014-2122,E5,22-Jul-14,10,10.01,19:59:57,7.1,5.69,15.30,5.96,44.1,5.02,.,0.07,6.63,,.,.,2.3,
,E5,22-Jul-14,11,10.92,20:00:26,7.1,5.55,16.00,5.94,40.4,4.62,.,0.11,11.36,,.,.,2.3,
2014-2123,E6,22-Jul-14,0,0.03,21:22:44,7,12.16,13.40,6.85,97.4,9.49,.,0.04,3.58,77,.,.,2.2,
,E6,22-Jul-14,0.5,0.51,21:21:59,7,12.18,13.50,6.83,97.7,9.51,.,0.04,4.06,43,.,.,2.2,
2014-2124,E6,22-Jul-14,1,1.01,21:25:27,7,12.17,13.50,6.75,97.3,9.48,.,0.04,3.82,20,.,.,2.2,
,E6,22-Jul-14,1.5,1.5,21:26:55,6.9,12.17,13.40,6.75,97.5,9.49,.,0.04,4.08,19,.,.,2.2,
2014-2125,E6,22-Jul-14,2,2.02,21:28:46,6.9,12.16,13.50,6.74,97.5,9.49,.,0.04,4.04,17,.,.,2.2,
,E6,22-Jul-14,2.5,2.53,21:31:16,6.9,12.05,13.10,6.63,97.1,9.48,.,0.05,4.20,16,.,.,2.2,
2014-2054,Toolik,25-Jul-14,0,0.01,9:53:37,7.5,10.33,74.70,7.72,97.1,9.87,.,0.02,1.90,446,.,.,3.3,
,Toolik,25-Jul-14,0.5,0.53,9:57:17,7.4,10.36,74.80,7.71,97.1,9.85,.,0.03,2.53,236,.,.,3.3,
2014-2055,Toolik,25-Jul-14,1,0.97,9:59:03,7.4,10.36,75.00,7.7,96.9,9.84,.,0.04,3.21,131,.,.,3.3,
,Toolik,25-Jul-14,2,2,10:01:09,7.3,10.37,74.80,7.71,96.8,9.82,.,0.04,3.70,57,.,.,3.3,
2014-2057,Toolik,25-Jul-14,3,3.01,10:02:26,7.3,10.37,75.00,7.71,96.8,9.83,.,0.04,3.84,33,.,.,3.3,
,Toolik,25-Jul-14,4,4,10:03:37,7.3,10.36,75.00,7.71,96.9,9.84,.,0.04,3.82,23,.,.,3.3,
2014-2058,Toolik,25-Jul-14,5,5,10:04:48,7.3,10.36,74.90,7.72,96.6,9.8,.,0.04,3.85,18,.,.,3.3,
,Toolik,25-Jul-14,6,6,10:05:52,7.3,10.34,75.00,7.71,96.5,9.81,.,0.04,3.69,15,.,.,3.3,
,Toolik,25-Jul-14,7,7,10:07:14,7.3,10.34,75.00,7.71,96.6,9.81,.,0.04,3.81,14,.,.,3.3,
2014-2059,Toolik,25-Jul-14,8,8,10:08:21,7.2,10.29,74.80,7.7,96.3,9.79,.,0.04,3.59,12,.,.,3.3,
,Toolik,25-Jul-14,9,9.03,10:09:58,7.2,6.91,75.40,7.26,84.6,9.33,.,0.04,3.63,,,.,3.3,
,Toolik,25-Jul-14,10,10.03,10:11:09,7.2,6.49,74.90,7.22,83.8,9.34,.,0.04,3.67,,,.,3.3,
,Toolik,25-Jul-14,11,11.01,10:14:25,7.2,6.2,75.10,7.17,81.8,9.19,.,0.04,3.15,,,.,3.3,
2014-2060,Toolik,25-Jul-14,12,12.04,10:15:41,7.2,6.05,75.70,7.16,81,9.14,.,0.03,2.93,,,.,3.3,
,Toolik,25-Jul-14,13,13.03,10:17:01,7.1,5.72,75.60,7.14,79.6,9.06,.,0.03,2.14,,,.,3.3,
,Toolik,25-Jul-14,14,14.01,10:18:11,7.1,5.63,75.70,7.13,78.6,8.96,.,0.03,2.08,,,.,3.3,
,Toolik,25-Jul-14,15,15.01,10:19:08,7.1,5.51,76.00,7.12,77.9,8.91,.,0.02,1.97,,,.,3.3,
2014-2061,Toolik,25-Jul-14,16,16.01,10:20:13,7.1,5.45,76.20,7.1,77.2,8.84,.,0.02,1.97,,,.,3.3,
,Toolik,25-Jul-14,17,17.01,10:21:20,7.1,5.41,76.10,7.09,76.9,8.81,.,0.02,1.92,,,.,3.3,
,Toolik,25-Jul-14,18,18.01,10:23:22,7.1,5.33,76.40,7.08,76.3,8.77,.,0.02,1.94,,,.,3.3,
,Toolik,25-Jul-14,19,19.01,10:24:59,7.1,5.31,76.20,7.08,75.6,8.69,.,0.02,1.93,,,.,3.3,
2014-2062,Toolik,25-Jul-14,20,20,10:26:09,7.1,5.29,75.90,7.07,75.2,8.65,.,0.02,1.88,,,.,3.3,
,Toolik,25-Jul-14,21,21.01,10:27:12,7.1,5.29,76.00,7.06,75.1,8.63,.,0.02,1.86,,,.,3.3,
,Toolik,25-Jul-14,22,21.99,10:28:23,7.1,5.28,75.90,7.06,74.9,8.62,.,0.02,2.03,,,.,3.3,
,Toolik,25-Jul-14,23,23.02,10:30:06,7,5.24,76.60,7.01,69,7.94,.,0.03,2.70,,,.,3.3,
,Toolik,25-Jul-14,23.15,23.15,10:30:30,7,5.23,76.50,6.97,69.7,8.03,.,0.09,9.08,,,.,3.3,
,Fog 1,28-Jul-14,0,0.02,13:01:53,6.8,10.26,150.00,8.21,100.8,10.25,.,0.00,0.55,1265,.,.,8,
,Fog 1,28-Jul-14,0.5,0.51,13:03:11,6.8,10.25,149.50,8.18,100.2,10.2,.,0.01,0.53,966,.,.,8,
2014-2361,Fog 1,28-Jul-14,1,0.98,13:04:53,6.8,10.27,149.50,8.17,100.2,10.19,.,0.01,0.75,330,.,.,8,
,Fog 1,28-Jul-14,2,2.01,13:05:53,6.8,10.23,149.50,8.16,100.2,10.2,.,0.01,0.87,222,.,.,8,
2014-2362,Fog 1,28-Jul-14,3,2.96,13:06:58,6.8,10.23,149.90,8.17,100.1,10.19,.,0.01,0.99,263,.,.,8,
,Fog 1,28-Jul-14,4,3.98,13:08:11,6.8,10.23,149.90,8.16,100.1,10.19,.,0.02,1.11,191,.,.,8,
,Fog 1,28-Jul-14,5,4.97,13:09:10,6.8,10.02,149.20,8.14,98.6,10.09,.,0.02,1.38,122,.,.,8,
2014-2363,Fog 1,28-Jul-14,6,6,13:10:18,6.8,9.56,149.80,8.1,97.5,10.09,.,0.02,1.44,73,.,.,8,
