SortChem_#,Site,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,Notes
2008-0388,E5,30-Jul-2008,10,0.78,1.30,1.00,0.133,.,0.077,0.260,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0389,E6,30-Jul-2008,0,1.99,2.20,0.40,0.108,.,0.050,0.113,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0390,E6,30-Jul-2008,1,2.47,2.69,0.43,0.154,.,0.074,10.028,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate value suspiciously high, contamination is suspected. I checked and this is not misentered data."
2008-0391,E6,30-Jul-2008,2,2.29,2.49,0.39,0.102,.,0.049,0.144,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0400,Toolik Main,01-Aug-2008,0,0.61,0.69,0.16,0.225,.,0.015,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0401.1,Toolik Main,01-Aug-2008,1,0.72,0.78,0.10,0.545,.,0.024,0.130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,duplicate
2008-0401,Toolik Main,01-Aug-2008,1,0.73,0.81,0.16,0.139,.,0.022,0.575,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0402,Toolik Main,01-Aug-2008,3,0.71,0.77,0.10,0.996,.,0.020,0.106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0403,Toolik Main,01-Aug-2008,5,0.43,0.49,0.12,0.137,.,0.020,0.523,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0404,Toolik Main,01-Aug-2008,8,0.78,0.86,0.16,0.166,.,0.022,0.101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0405,Toolik Main,01-Aug-2008,12,0.48,0.60,0.24,0.467,.,0.019,0.314,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0406,Toolik Main,01-Aug-2008,16,0.55,0.68,0.25,0.620,.,0.020,0.458,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0407,Toolik Main,01-Aug-2008,19,0.40,0.58,0.37,0.618,.,0.013,0.561,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2119,E1,04-Aug-2008,0.01,0.22,0.23,0.00,0.545,.,0.029,0.209,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2120,E1,04-Aug-2008,1,0.24,0.26,0.00,0.910,.,0.040,0.215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2121,E1,04-Aug-2008,3,0.20,0.22,0.00,0.431,.,0.031,0.155,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2122,E1,04-Aug-2008,5,0.15,0.16,0.00,0.638,.,0.030,0.274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2123,E1,04-Aug-2008,8,0.09,0.09,0.00,9.795,.,0.033,1.210,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2124,E1,04-Aug-2008,10,0.05,0.06,0.01,14.399,.,0.034,1.168,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2091,I1,05-Aug-2008,1,0.35,0.42,0.15,0.138,.,0.022,0.014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2092,I1,05-Aug-2008,5,0.31,0.33,0.03,0.101,.,0.032,0.053,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2093,I1,05-Aug-2008,9,0.22,0.25,0.06,0.187,.,0.028,0.039,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2094,I2,05-Aug-2008,1,0.81,0.85,0.00,0.202,.,0.043,0.189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2095,I2,05-Aug-2008,8,0.42,0.49,0.13,0.490,.,0.028,0.203,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2096,I2,05-Aug-2008,14,0.24,0.33,0.18,0.954,.,0.039,0.851,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2097,I3,05-Aug-2008,1,0.27,0.37,0.20,0.146,.,0.043,0.134,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2098,I3,05-Aug-2008,3,0.38,0.47,0.17,0.130,.,0.035,0.036,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2099,I4,05-Aug-2008,1,0.88,0.93,0.09,0.088,.,0.055,0.035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2100,I4,05-Aug-2008,4,1.04,1.15,0.20,0.107,.,0.036,0.035,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2101,I4,05-Aug-2008,6,1.11,1.14,0.06,0.121,.,0.024,0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2102,I5,05-Aug-2008,1,0.67,0.80,0.26,0.104,.,0.028,0.021,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2103,I5,05-Aug-2008,4,0.69,0.74,0.10,0.166,.,0.024,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate reported as negative number
2008-2104,I5,05-Aug-2008,8,0.39,0.50,0.21,0.202,.,0.028,0.062,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2108,I6 Headwaters Lake,05-Aug-2008,1,0.37,0.39,0.03,0.299,.,0.029,0.364,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2109,I6 Headwaters Lake,05-Aug-2008,5,0.26,0.28,0.03,0.190,.,0.027,0.070,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2110,I6 Headwaters Lake,05-Aug-2008,6,0.36,0.44,0.17,0.342,.,0.032,0.085,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2117,I Swamp,06-Aug-2008,1,0.30,0.30,0.00,0.339,.,0.040,0.135,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2118,I Swamp,06-Aug-2008,3,0.33,0.35,0.03,0.235,.,0.025,0.133,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2105,I6,06-Aug-2008,1,0.80,0.85,0.09,0.205,.,0.025,0.075,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2106,I6,06-Aug-2008,8,0.79,0.87,0.16,0.467,.,0.034,0.106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2107,I6,06-Aug-2008,12,0.27,0.41,0.26,0.885,.,0.026,0.344,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2111,I7,06-Aug-2008,1,0.31,0.37,0.12,0.261,.,0.024,0.075,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2112,I7,06-Aug-2008,6,0.59,0.60,0.03,0.254,.,0.025,0.049,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2113,I7,06-Aug-2008,10,0.50,0.56,0.13,0.063,.,0.027,0.117,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2114,I8,06-Aug-2008,1,0.88,0.93,0.00,0.341,.,0.046,0.268,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2115,I8,06-Aug-2008,4,0.94,1.02,0.00,0.311,.,0.028,0.514,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2116,I8,06-Aug-2008,7,0.75,0.84,0.19,0.273,.,0.029,0.319,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0476,NE14,08-Aug-2008,0,.,.,.,0.180,.,0.060,0.000,8.000,.,.,0.060,.,0.23,25.1,.,203.90,.,332,1679,1.809,.,.,821.70,207.60,31.30,20.15,33.4,
2008-0433,Toolik Main,08-Aug-2008,0,0.97,1.07,0.20,0.377,.,0.038,2.887,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate value suspiciously high, contamination is suspected"
2008-0434.1,Toolik Main,08-Aug-2008,1,1.00,1.13,0.26,0.337,.,0.040,0.083,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,duplicate
2008-0434,Toolik Main,08-Aug-2008,1,0.88,0.98,0.20,0.264,.,0.041,5.602,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate value suspiciously high, contamination is suspected. I checked and this is not misentered data."
2008-0435,Toolik Main,08-Aug-2008,3,0.98,1.13,0.30,0.140,.,0.040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0436,Toolik Main,08-Aug-2008,5,0.90,1.09,0.36,0.169,.,0.040,0.042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0437,Toolik Main,08-Aug-2008,8,0.91,1.09,0.35,0.142,.,0.040,0.318,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0438,Toolik Main,08-Aug-2008,12,1.12,1.25,0.00,0.502,.,0.042,14.822,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate value suspiciously high, contamination is suspected. I checked and this is not misentered data."
2008-0439,Toolik Main,08-Aug-2008,16,0.56,0.80,0.46,0.810,.,0.041,0.686,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0440,Toolik Main,08-Aug-2008,19,0.56,0.81,0.49,0.867,.,0.044,0.718,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0442,E5,11-Aug-2008,0,3.93,4.73,1.57,0.546,.,0.052,2.425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0443,E5,11-Aug-2008,1,3.75,4.73,1.93,1.087,.,0.066,1.452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0444,E5,11-Aug-2008,3,4.26,5.07,1.58,0.283,.,0.051,0.995,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0445,E5,11-Aug-2008,5,3.19,4.13,1.83,0.503,.,0.050,3.278,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0446,E5,11-Aug-2008,8,2.19,3.25,2.08,0.425,.,0.056,1.051,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0447,E5,11-Aug-2008,10,1.00,2.20,2.34,0.409,.,0.080,2.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-0448,E6,11-Aug-2008,0.01,3.51,4.13,1.21,1.028,.,0.053,0.073,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0449,E6,11-Aug-2008,1,3.51,4.10,1.14,0.495,.,0.055,0.063,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0450,E6,11-Aug-2008,2,3.59,4.16,1.11,0.637,.,0.062,0.175,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2125,N1,13-Aug-2008,0,0.59,0.66,0.15,1.225,.,0.027,0.148,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2126,N1,13-Aug-2008,1,0.66,0.74,0.16,0.804,.,0.028,0.297,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2127,N1,13-Aug-2008,3,0.75,0.83,0.15,0.518,.,0.027,0.034,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2128,N1,13-Aug-2008,5,0.83,0.93,0.20,0.584,.,0.032,0.028,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2129,N1,13-Aug-2008,8,1.75,2.00,0.50,0.162,.,0.042,0.022,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2130,N1,13-Aug-2008,10,1.22,1.45,0.44,1.543,.,0.047,0.914,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2131,N2 Fert,13-Aug-2008,0,0.64,0.69,0.10,0.160,.,0.032,0.040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2132,N2 Fert,13-Aug-2008,1,0.64,0.73,0.17,0.199,.,0.032,0.015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2133,N2 Fert,13-Aug-2008,3,0.22,0.25,0.04,0.133,.,0.037,0.015,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2134,N2 Fert,13-Aug-2008,5,0.86,0.95,0.18,0.281,.,0.036,0.078,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2135,N2 Fert,13-Aug-2008,8,0.99,1.16,0.34,4.512,.,0.058,0.013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2136,N2 Ref,13-Aug-2008,0,0.56,0.60,0.08,0.127,.,0.030,0.029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2137,N2 Ref,13-Aug-2008,1,0.52,0.57,0.11,0.118,.,0.030,0.049,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2138,N2 Ref,13-Aug-2008,3,0.74,0.82,0.17,0.116,.,0.033,0.121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2139,N2 Ref,13-Aug-2008,5,0.86,0.94,0.16,0.163,.,0.033,0.065,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2140,N2 Ref,13-Aug-2008,6,0.61,0.71,0.18,0.221,.,0.037,0.301,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0486,Toolik Main,15-Aug-2008,0,0.53,0.59,0.13,0.317,.,0.022,0.248,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0487,Toolik Main,15-Aug-2008,1,0.57,0.64,0.13,0.188,.,0.021,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate reported as negative number
2008-0487.1,Toolik Main,15-Aug-2008,1,0.86,0.98,0.24,0.165,.,0.014,0.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,duplicate
2008-0488,Toolik Main,15-Aug-2008,3,0.40,0.46,0.11,0.201,.,0.017,0.044,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0489,Toolik Main,15-Aug-2008,5,0.50,0.57,0.15,0.161,.,0.016,0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0490,Toolik Main,15-Aug-2008,8,0.69,0.78,0.16,0.147,.,0.017,0.017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0491,Toolik Main,15-Aug-2008,12,0.66,0.79,0.26,0.306,.,0.026,0.274,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0492,Toolik Main,15-Aug-2008,16,0.58,0.79,0.42,0.786,.,0.015,0.753,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-0493,Toolik Main,15-Aug-2008,19.5,0.37,0.53,0.32,0.896,.,0.013,0.943,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Added missing sortchem number
2008-2155,Toolik Main,22-Aug-2008,0,0.66,0.78,0.21,.,.,.,0.059,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2156,Toolik Main,22-Aug-2008,1,0.23,0.52,0.50,.,.,.,0.017,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2157,Toolik Main,22-Aug-2008,3,0.18,0.62,0.76,.,.,.,0.040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2158,Toolik Main,22-Aug-2008,5,0.16,0.43,0.47,.,.,.,0.019,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2159,Toolik Main,22-Aug-2008,8,0.26,0.65,0.68,.,.,.,0.029,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2160,Toolik Main,22-Aug-2008,12,0.13,0.59,0.79,.,.,.,0.205,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2161,Toolik Main,22-Aug-2008,16,0.05,0.26,0.36,.,.,.,0.943,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2162,Toolik Main,22-Aug-2008,19.5,0.06,0.41,0.60,.,.,.,1.081,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2163,Toolik Main,05-Sep-2008,0,0.30,0.98,1.18,.,.,.,0.223,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2164,Toolik Main,05-Sep-2008,1,0.33,0.55,0.39,.,.,.,17.950,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube; Nitrate value suspiciously high, contamination is suspected"
2008-2165,Toolik Main,05-Sep-2008,3,0.27,0.77,0.88,.,.,.,0.267,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2166,Toolik Main,05-Sep-2008,5,0.33,0.92,1.04,.,.,.,8.254,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube; Nitrate value suspiciously high, contamination is suspected"
2008-2167,Toolik Main,05-Sep-2008,8,0.26,0.89,1.10,.,.,.,1.582,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube; Nitrate value suspiciously high, contamination is suspected"
2008-2168,Toolik Main,05-Sep-2008,12,0.33,0.53,0.36,.,.,.,2.379,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube; Nitrate value suspiciously high, contamination is suspected"
2008-2169,Toolik Main,05-Sep-2008,16,0.07,0.41,0.60,.,.,.,1.299,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2170,Toolik Main,05-Sep-2008,20,0.13,0.43,0.53,.,.,.,4.887,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube; Nitrate value suspiciously high, contamination is suspected"
2008-2171,Toolik Main,15-Sep-2008,0,0.32,0.98,1.15,.,.,.,0.339,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2172,Toolik Main,15-Sep-2008,1,0.32,1.04,1.26,.,.,.,1.122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-2173,Toolik Main,15-Sep-2008,3,0.33,1.08,1.31,.,.,.,1.546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-2174,Toolik Main,15-Sep-2008,5,0.38,1.03,1.12,.,.,.,0.190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2175,Toolik Main,15-Sep-2008,8,0.33,1.08,1.29,.,.,.,0.191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2176,Toolik Main,15-Sep-2008,12,0.31,0.93,1.08,.,.,.,0.279,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2008-2177,Toolik Main,15-Sep-2008,16,0.40,1.04,1.11,.,.,.,0.832,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2008-2178,Toolik Main,15-Sep-2008,20,0.33,0.57,0.42,.,.,.,0.878,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nitrate Tube cracked during freezing Sample salvaged and transferred to new tube
2009-0224,Toolik Main,19-Jun-2009,0,1.75,1.88,0.25,0.663,.,0.027,.,.,.,.,.,.,.,.,.,.,.,.,826,0.568,.,.,.,.,.,.,.,
2009-0225,Toolik Main,19-Jun-2009,1,1.67,1.82,0.29,0.432,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,848,0.575,.,.,.,.,.,.,.,
2009-0226,Toolik Main,19-Jun-2009,3,1.47,1.59,0.22,0.190,.,0.051,.,.,.,.,.,.,.,.,.,.,.,.,847,0.574,.,.,.,.,.,.,.,
2009-0227,Toolik Main,19-Jun-2009,5,1.29,1.41,0.22,0.235,.,0.049,.,.,.,.,.,.,.,.,.,.,.,.,855,0.579,.,.,.,.,.,.,.,
2009-0228,Toolik Main,19-Jun-2009,8,1.10,1.22,0.24,1.272,.,0.087,.,.,.,.,.,.,.,.,.,.,.,.,869,0.585,.,.,.,.,.,.,.,
2009-0229,Toolik Main,19-Jun-2009,12,0.99,1.09,0.19,0.802,.,0.047,.,.,.,.,.,.,.,.,.,.,.,.,908,0.595,.,.,.,.,.,.,.,
2009-0230,Toolik Main,19-Jun-2009,16,0.66,0.75,0.16,0.314,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,937,0.597,.,.,.,.,.,.,.,
2009-0231,Toolik Main,19-Jun-2009,19,0.63,0.71,0.16,0.167,.,0.040,.,.,.,.,.,.,.,.,.,.,.,.,942,0.595,.,.,.,.,.,.,.,
2009-0225.1,Toolik Main - Dup,19-Jun-2009,1,1.70,1.83,0.26,0.253,.,0.041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
2009-0672,NE14,20-Jun-2009,0,.,.,.,0.460,.,0.040,0.010,10.600,.,.,0.050,.,0.08,25.6,.,283.50,.,218,1004,1.752,.,.,848.40,212.30,26.20,16.81,28.7,
2009-0671,NE14,20-Jun-2009,2,.,.,.,0.430,.,0.330,0.040,8.000,.,.,0.110,.,0.05,.,.,.,.,218,1018,1.759,.,.,843.90,210.00,25.60,16.45,28.5,
2009-0674,NE14,20-Jun-2009,15,.,.,.,1.790,.,0.350,2.110,14.900,.,.,0.090,.,0.11,33,.,282.80,.,222,1347,2.304,.,.,1105.00,269.80,36.20,20.65,44.6,
2009-2000,I1,23-Jun-2009,1,1.44,1.52,0.15,0.027,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,355,0.243,.,.,.,.,.,.,.,
2009-2001,I1,23-Jun-2009,3,1.43,1.59,0.30,0.103,.,0.038,.,.,.,.,.,.,.,.,.,.,.,.,379,0.250,.,.,.,.,.,.,.,
2009-2002,I1,23-Jun-2009,9,0.16,1.04,1.71,0.057,.,0.043,.,.,.,.,.,.,.,.,.,.,.,.,382,0.246,.,.,.,.,.,.,.,
2009-2003,I2,23-Jun-2009,1,1.24,1.74,0.97,0.020,.,0.042,.,.,.,.,.,.,.,.,.,.,.,.,369,0.209,.,.,.,.,.,.,.,
2009-2004,I2,23-Jun-2009,4,2.12,2.28,0.32,0.000,.,0.065,.,.,.,.,.,.,.,.,.,.,.,.,379,0.203,.,.,.,.,.,.,.,
2009-2005,I2,23-Jun-2009,14,1.52,1.67,0.29,0.000,.,0.049,.,.,.,.,.,.,.,.,.,.,.,.,402,0.212,.,.,.,.,.,.,.,
2009-2006,I3,23-Jun-2009,1,0.36,0.87,1.00,0.000,.,0.090,.,.,.,.,.,.,.,.,.,.,.,.,262,0.197,.,.,.,.,.,.,.,
2009-2007,I3,23-Jun-2009,4,0.35,0.76,0.80,0.000,.,0.060,.,.,.,.,.,.,.,.,.,.,.,.,263,0.195,.,.,.,.,.,.,.,
2009-2008,I4,23-Jun-2009,1,1.35,1.58,0.46,0.000,.,0.060,.,.,.,.,.,.,.,.,.,.,.,.,231,0.172,.,.,.,.,.,.,.,
2009-2009,I4,23-Jun-2009,4,1.78,2.10,0.62,0.000,.,0.074,.,.,.,.,.,.,.,.,.,.,.,.,267,0.172,.,.,.,.,.,.,.,
2009-2010,I4,23-Jun-2009,6,1.36,1.72,0.70,0.000,.,0.692,.,.,.,.,.,.,.,.,.,.,.,.,351,0.168,.,.,.,.,.,.,.,
2009-2011,I5,23-Jun-2009,1,1.85,2.00,0.00,0.127,.,0.050,.,.,.,.,.,.,.,.,.,.,.,.,300,0.190,.,.,.,.,.,.,.,
2009-2012,I5,23-Jun-2009,6,1.76,2.01,0.48,0.138,.,0.044,.,.,.,.,.,.,.,.,.,.,.,.,304,0.184,.,.,.,.,.,.,.,
2009-2013,I5,23-Jun-2009,8,2.25,2.58,0.64,0.190,.,0.047,.,.,.,.,.,.,.,.,.,.,.,.,327,0.187,.,.,.,.,.,.,.,
2009-2017,I6 Headwaters Lake,23-Jun-2009,1,1.72,1.89,0.34,0.141,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,1015,0.896,.,.,.,.,.,.,.,
2009-2018,I6 Headwaters Lake,23-Jun-2009,5,2.85,3.20,0.69,0.065,.,0.068,.,.,.,.,.,.,.,.,.,.,.,.,1126,0.913,.,.,.,.,.,.,.,
2009-2019,I6 Headwaters Lake,23-Jun-2009,6,2.34,2.71,0.71,0.041,.,0.058,.,.,.,.,.,.,.,.,.,.,.,.,1149,0.923,.,.,.,.,.,.,.,
2009-2026,I Swamp,24-Jun-2009,1,0.56,0.66,0.20,0.288,.,0.054,.,.,.,.,.,.,.,.,.,.,.,.,422,0.345,.,.,.,.,.,.,.,
